accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.6937425977102251,0.6449294368591663,0.6388888888888888,0.007388371345968519,0.014607812003810734,0.004852326554171938,0.27,0.5613896565337544,0.3960318700203093,0.8143270157404433,0.532898885852428,0.015529978316531134,0.0057787,0.21842836947058827,0.010890092378389398,0.0
0.6920647453612317,0.650886238888919,0.4768211920529801,0.023128814648249278,0.04411764705882353,0.005807708729452396,0.28,0.5626727200947493,0.3971598002496879,0.8175393511082557,0.534607709274236,0.011361537497668883,0.00323233,0.10495808725051864,0.007105714524442166,0.05
0.692755625740229,0.649976267894216,0.5,0.009637006103437198,0.018909549322407817,0.0009952530994966641,0.27,0.5599091985787603,0.3957235822745584,0.8204304529392868,0.5339186787916798,0.014770326132857559,0.0051012635,0.09751226871550239,0.007089218635968011,0.1
0.693249111725227,0.654700217806315,0.8571428571428571,0.0019274012206874397,0.0038461538461538464,0.0014042126379137413,0.26,0.5580339518357679,0.3944968310403463,0.8197879858657244,0.5326654143185139,0.006627732429852151,0.00323838,0.10555314911821707,0.0055719412900733355,0.15
0.692755625740229,0.6493429540771511,0.0,0.0,0.0,0.0,0.35000000000000003,0.5633636004737466,0.397690026533479,0.8185030517185994,0.5352941176470588,0.018275264885388554,0.0043495893,0.0710843411521675,0.005153446701398173,0.2
0.692755625740229,0.6510786403404976,0.0,0.0,0.0,0.0,0.21,0.5619818397157521,0.3969192469270266,0.8194667523289432,0.5348008385744235,0.014658118517199226,0.0039052367,0.05038486322110421,0.004558812493733015,0.25
0.692755625740229,0.654353103436787,0.0,0.0,0.0,0.0,0.23,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.01747285766372364,0.0031673908,0.04412193129887259,0.004179670685394482,0.3
0.692755625740229,0.6271900138703872,0.0,0.0,0.0,0.0,0.17,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.01747285766372364,0.0036338866,0.03824179451398779,0.004046708661524731,0.35
0.692755625740229,0.642427668793258,0.0,0.0,0.0,0.0,0.16,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.01747285766372364,0.0036797822,0.03826309431358249,0.00409276782902793,0.4
0.692755625740229,0.6454803713677533,0.0,0.0,0.0,0.0,0.15,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.01747285766372364,0.003763318,0.04080495046051127,0.004427521216970281,0.45
0.692755625740229,0.6418511280496191,0.0,0.0,0.0,0.0,0.15,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.01747285766372364,0.0037428439,0.040682725443821864,0.004417512996120131,0.5
