accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.7486950848194868,0.7118562449740702,0.0,0.0,0.0,0.0,0.27,0.5993910395824271,0.3768609865470852,0.9091302466464734,0.532843012934314,0.0,0.24278274,1.86700650328434,0.24417115837631012,0.0
0.7486950848194868,0.7109103724506614,0.0,0.0,0.0,0.0,0.16,0.5987385819921706,0.376544315129812,0.9099956728688879,0.5326747720364742,0.0,0.2135998,1.861192703352423,0.21508228518594424,0.05
0.7486950848194868,0.7102934813042482,0.0,0.0,0.0,0.0,0.23,0.5990648107872988,0.3766140602582496,0.9086975335352662,0.5325218714340053,0.0,0.17790319,1.8422898521745743,0.1794687080050182,0.1
0.7486950848194868,0.7125081428311505,0.0,0.0,0.0,0.0,0.24,0.5994997825141366,0.37684021543985635,0.9082648204240589,0.5326735185890116,0.0,0.13395351,1.8264897615083169,0.13586028933562114,0.15
0.7486950848194868,0.7101174421721507,0.0,0.0,0.0,0.0,0.24,0.5977598956067856,0.37535919540229884,0.9043704024231934,0.5305241781952025,0.0,0.07592201,1.736381227114507,0.08028514174180865,0.2
0.7486950848194868,0.6897872163914366,0.0,0.0,0.0,0.0,0.26,0.5724227925184863,0.3495452014108038,0.8147987884032886,0.4892179786957651,0.0,0.02809441,0.943201753454488,0.029047099682092493,0.25
0.7486950848194868,0.6721276506820495,0.0,0.0,0.0,0.0,0.27,0.6081992170508916,0.3511520737327189,0.6594547814798788,0.45827695083446096,0.0,0.013661653,0.49461055978531604,0.013951656082284622,0.3
0.7486950848194868,0.669402343689852,0.0,0.0,0.0,0.0,0.27,0.5958025228360156,0.3475054229934924,0.6932064041540459,0.46293888166449937,0.0,0.009152904,0.35724137899570874,0.011642213520644483,0.35
0.7486950848194868,0.6538666231753851,0.0,0.0,0.0,0.0,0.24,0.3906046107003045,0.2885578528316425,0.9723063608827347,0.44503862150920975,0.0,0.003653437,0.31704368653805903,0.009712127699908257,0.4
0.7486950848194868,0.630696297301875,0.0,0.0,0.0,0.0,0.25,0.3682035667681601,0.2832362780324619,0.9891821722198183,0.44037757657484106,0.0,0.0059206784,0.23531218859446482,0.00644118320852247,0.45
0.7486950848194868,0.6329529731664449,0.0,0.0,0.0,0.0,0.1,0.35722053066550674,0.28016609672691745,0.9926438771094764,0.436993999428517,0.0,0.0069393516,0.28607563315796714,0.009101206460674229,0.5
