accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.6915712593762338,0.6438147990491782,0.45652173913043476,0.020237712817218118,0.03875730544447862,0.018486269256530477,0.26,0.560994867745756,0.39614127897930607,0.817860584645037,0.5337526205450733,0.018486269256530477,0.20638366,1.687410753392606,0.20638287914143108,0.0
0.6935452033162258,0.6459932512124518,0.7222222222222222,0.004176035978156119,0.00830405621207282,0.0024112525117213662,0.24,0.5571456770627714,0.39466421343146274,0.8268551236749117,0.5343020238713025,0.0024112525117213662,0.17068361,1.6552897015464614,0.17068258253547927,0.05
0.6936439005132254,0.6440330126840794,0.5849056603773585,0.009958239640218438,0.01958307012002527,0.0070997990622906895,0.26,0.5401697591788394,0.38655708834751984,0.8461291358817861,0.5306739196131762,0.0070997990622906895,0.13639982,1.3408598756837755,0.13640033026171747,0.1
0.6929530201342282,0.6364353063620121,1.0,0.00064246707356248,0.0012841091492776886,0.00026791694574681847,0.25,0.5173707066719305,0.3758211041229909,0.8637969804047543,0.5237631476431632,0.00026791694574681847,0.08457163,1.1071229006666357,0.08456983763000339,0.15
0.692755625740229,0.6276195990809582,0.0,0.0,0.0,0.0,0.25,0.45923805763916303,0.3523096129837703,0.9065210407966592,0.5074170637417963,0.0,0.055719703,0.7529787471575795,0.05573135671613999,0.2
0.692755625740229,0.622975122318399,0.0,0.0,0.0,0.0,0.29,0.4136399526253454,0.3359628770301624,0.9302923225184709,0.49365038779510784,0.0,0.01574248,0.3196385883455923,0.015744969442636324,0.25
0.692755625740229,0.6225033634785158,0.0,0.0,0.0,0.0,0.17,0.4120607974733518,0.3354928273947247,0.9315772566655959,0.4933231266479544,0.0,0.008424699,0.3975962923384592,0.008425531436222787,0.3
0.692755625740229,0.6212954311016763,0.0,0.0,0.0,0.0,0.17,0.4120607974733518,0.3354928273947247,0.9315772566655959,0.4933231266479544,0.0,0.00836134,0.39859801619706986,0.008361168667394373,0.35
0.692755625740229,0.5989464052575939,0.0,0.0,0.0,0.0,0.17,0.4120607974733518,0.3354928273947247,0.9315772566655959,0.4933231266479544,0.0,0.00820592,0.3955322954645468,0.008207928563125818,0.4
0.692755625740229,0.6176760504174182,0.0,0.0,0.0,0.0,0.13,0.4120607974733518,0.3354928273947247,0.9315772566655959,0.4933231266479544,0.0,0.004106343,0.2581391225432423,0.004112529165505006,0.45
0.692755625740229,0.5742916512186393,0.0,0.0,0.0,0.0,0.16,0.4120607974733518,0.3354928273947247,0.9315772566655959,0.4933231266479544,0.0,0.008046359,0.3907285685889808,0.008042977840558723,0.5
