num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
2,False,32,128,0.0001,0.4,0.724772680964854
2,False,32,128,0.001,0.2,0.7245399049678245
2,False,32,128,0.001,0.4,0.7276369807940202
2,False,32,256,0.0001,0.2,0.7253948640779724
2,False,32,256,0.0001,0.4,0.7253278229069051
2,False,32,256,0.001,0.2,0.726878057898313
2,False,32,256,0.001,0.4,0.7276361651439797
2,False,32,512,0.0001,0.2,0.7246964045304255
2,False,32,512,0.0001,0.4,0.7238670989296145
2,False,32,512,0.001,0.2,0.7264019024537279
2,False,32,512,0.001,0.4,0.7252318919376308
2,False,64,128,0.0001,0.2,0.725336742434767
2,False,64,128,0.0001,0.4,0.7239219316613665
2,False,64,128,0.001,0.2,0.7228825303969091
2,False,64,128,0.001,0.4,0.7289906178143862
2,False,64,256,0.0001,0.2,0.7236075906602913
2,False,64,256,0.0001,0.4,0.7237423834072996
2,False,64,256,0.001,0.2,0.7214135972966307
2,False,64,256,0.001,0.4,0.7262186969301248
2,False,64,512,0.0001,0.2,0.72593442973538
2,False,64,512,0.0001,0.4,0.7242373777366901
2,False,64,512,0.001,0.2,0.7238067671379125
2,False,64,512,0.001,0.4,0.7278286585535273
2,True,16,128,0.0001,0.2,0.7227263465698074
2,True,16,128,0.0001,0.4,0.724685064363734
2,True,16,128,0.001,0.2,0.7257763778065729
2,True,16,128,0.001,0.4,0.7287788645393672
2,True,16,256,0.0001,0.2,0.7242344045607361
2,True,16,256,0.0001,0.4,0.7245071737210398
2,True,16,256,0.001,0.2,0.7227551311228481
2,True,16,256,0.001,0.4,0.7257276492944785
2,True,16,512,0.0001,0.2,0.725123436793542
2,True,16,512,0.0001,0.4,0.7229601750185021
2,True,16,512,0.001,0.2,0.7279451386415627
2,True,16,512,0.001,0.4,0.7244574716911553
2,True,32,128,0.0001,0.2,0.72465962134473
2,True,32,128,0.0001,0.4,0.7237734307314203
2,True,32,128,0.001,0.2,0.7233922064270277
2,True,32,128,0.001,0.4,0.7274150713604326
2,True,32,256,0.0001,0.2,0.7242608737201136
2,True,32,256,0.0001,0.4,0.7247948087611129
2,True,32,256,0.001,0.2,0.7226705140089736
2,True,32,256,0.001,0.4,0.724580003376265
2,True,32,512,0.0001,0.2,0.7227561572632215
2,True,32,512,0.0001,0.4,0.7221025058453165
2,True,32,512,0.001,0.2,0.7253140357900922
2,True,32,512,0.001,0.4,0.7268533779067663
2,True,64,128,0.0001,0.2,0.7243512530068543
2,True,64,128,0.0001,0.4,0.7240354122621564
2,True,64,128,0.001,0.2,0.7208111213409412
2,True,64,128,0.001,0.4,0.7259628985529211
2,True,64,256,0.0001,0.2,0.7257749306855333
2,True,64,256,0.0001,0.4,0.7250751292621135
2,True,64,256,0.001,0.2,0.7247752594714335
2,True,64,256,0.001,0.4,0.725863205068944
2,True,64,512,0.0001,0.2,0.723506502677858
2,True,64,512,0.0001,0.4,0.722127764685279
2,True,64,512,0.001,0.2,0.7230477653083305
2,True,64,512,0.001,0.4,0.7290416354088523
