accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.7153617443012884,0.750017036989514,0.7393346379647749,0.4612942612942613,0.5681203007518797,0.08281549638875893,0.25,0.5630327056491575,0.4808909444985394,0.9648351648351648,0.6418649987815774,0.08281549638875893,0.114260465,0.65353252808488,0.11426894864571287,0.0
0.7179385530227949,0.7489854691689555,0.7408407250289241,0.4691086691086691,0.5744617224880383,0.07936222477888313,0.28,0.5625371655104063,0.48062674602210614,0.9663003663003663,0.6419532770927969,0.07936222477888313,0.10952929,0.5958007810938988,0.10957694686735693,0.05
0.7156590683845392,0.7480824374402356,0.7440286624203821,0.4564102564102564,0.5657635840774936,0.07502138639097652,0.24,0.5611496531219029,0.47981573524063525,0.9665445665445666,0.6412832145171743,0.07502138639097652,0.09516066,0.549922547174742,0.09550914689366305,0.1
0.7134786917740337,0.748526580453186,0.7467213114754099,0.4449328449328449,0.5576128538638102,0.0775649527442796,0.27,0.5636273538156591,0.48115977489601175,0.9604395604395605,0.6411280462955417,0.0775649527442796,0.09505907,0.5500218848464201,0.0952773863009805,0.15
0.7187314172447968,0.7518101674064976,0.7465672812867792,0.4647130647130647,0.5728476821192053,0.08393210331394818,0.25,0.5645193260654113,0.4817393428606327,0.9631257631257631,0.642240677414102,0.08393210331394818,0.08212674,0.4610891990007418,0.08269272589232331,0.2
0.7175421209117938,0.7493745398332554,0.7438307873090482,0.46373626373626375,0.5712996389891697,0.0778990161784277,0.25,0.5614469772051536,0.48,0.967032967032967,0.6415552855407047,0.0778990161784277,0.07735121,0.4239102978834395,0.07820959295208395,0.25
0.7168483647175421,0.7456906600025867,0.7435090479937058,0.46153846153846156,0.5695344282055146,0.07737137554312207,0.25,0.5625371655104063,0.48062674602210614,0.9663003663003663,0.6419532770927969,0.07737137554312207,0.07031417,0.3215070667134565,0.07094246365212172,0.3
0.7181367690782954,0.7512137811220381,0.751103974307507,0.4568986568986569,0.5681749164895232,0.07788569171096879,0.24,0.5620416253716551,0.4803445765590876,0.9667887667887668,0.6418091918618789,0.07788569171096879,0.06718874,0.3493537770380535,0.06849567785839449,0.35
0.7178394449950446,0.7355433353598491,0.7490023942537909,0.45836385836385835,0.5687017118618392,0.07446788304709381,0.1,0.49494549058473736,0.44486063677426463,0.9860805860805861,0.6131187367142423,0.07446788304709381,0.048157394,0.17033153694440806,0.04962672983751516,0.4
0.7151635282457879,0.7449959011426901,0.75945601359966,0.4363858363858364,0.5542803970223326,0.08018610722331385,0.3,0.4067393458870168,0.40619109038595097,0.9997557997557998,0.5776774375617327,0.08018610722331385,0.037097573,0.16616300988237756,0.037100731409130665,0.45
0.7128840436075322,0.7271940495793707,0.7207074428887251,0.4776556776556777,0.5745337053899251,0.06428989340384653,0.0,0.40584737363726464,0.40584737363726464,1.0,0.5773704617553754,0.06428989340384653,0.028180093,0.12857982793209782,0.02817678389109833,0.5
