accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.709613478691774,0.7440492636822913,0.7287004318806439,0.45323565323565324,0.5588678109003312,0.24668905514442402,0.23,0.5629335976214074,0.4807480748074808,0.9604395604395605,0.6407624633431085,0.24668905514442402,0.36656964,1.6868722176196296,0.3665952566697356,0.0
0.7138751238850347,0.7506653591057261,0.7385466034755134,0.45665445665445664,0.5643579296816056,0.2326383053525654,0.26,0.5609514370664024,0.4796104686548996,0.9621489621489622,0.6401299756295694,0.2326383053525654,0.3239361,1.6476240926507706,0.32398626494902805,0.05
0.7091179385530227,0.745172890310505,0.7290679304897314,0.4507936507936508,0.5571148332578845,0.2326383053525654,0.28,0.5609514370664024,0.47915889013313423,0.9404151404151404,0.6348499835146719,0.2326383053525654,0.27646866,1.583788865568603,0.2765869950834891,0.1
0.7071357779980179,0.7380600235646106,0.7296535052377116,0.44224664224664223,0.5507070092747454,0.2063085427786052,0.27,0.5488602576808721,0.47233991042246704,0.9528693528693528,0.631595985755908,0.2063085427786052,0.19986036,1.2846146357625308,0.20022896599722043,0.15
0.7124876114965312,0.7420602027941476,0.7299691833590138,0.4627594627594628,0.566432521297265,0.19614873270398336,0.3,0.6164519326065411,0.5181305398871877,0.7851037851037851,0.6242718446601941,0.19614873270398336,0.1197868,0.8083760793956498,0.1214278300745039,0.2
0.7093161546085233,0.7251629104840114,0.7250193648334624,0.45714285714285713,0.5607308671559084,0.1761316660774962,0.31,0.6778989098116948,0.6021765417170496,0.608058608058608,0.6051032806804374,0.1761316660774962,0.084067255,0.5191557677817151,0.08609443774501255,0.25
0.7106045589692765,0.7206028426211911,0.7257011140991164,0.4612942612942613,0.5640489698417438,0.17326634175364175,0.3,0.40822596630327057,0.4067779765454184,0.9995115995115995,0.5782298509571236,0.17326634175364175,0.071635306,0.4951490094102559,0.07323628371110612,0.3
0.6994053518334985,0.7171077240802011,0.6860546601261388,0.47814407814407817,0.5635343214851057,0.09307601554637349,0.24,0.40901883052527255,0.4071201272871917,0.9997557997557998,0.5786163522012578,0.09307601554637349,0.046954095,0.20819177437908487,0.048941141100648004,0.35
0.6912784935579782,0.7164899320862623,0.6611842105263158,0.4908424908424908,0.5634197617379118,0.04315975502098801,0.19,0.4089197224975223,0.407098121085595,1.0,0.5786350148367952,0.04315975502098801,0.023548812,0.12116500642049895,0.02495377509681342,0.4
0.6794846382556987,0.6777605676688245,0.6353348003772399,0.49352869352869355,0.5555250137438152,0.0020087332448611717,0.3,0.4057482656095144,0.40578848250569927,0.9997557997557998,0.5772701635645798,0.0020087332448611717,0.010181457,0.1671939335577048,0.011535194847378388,0.45
0.6905847373637265,0.694936032367225,0.6588312112308194,0.4927960927960928,0.563844649343392,0.056379991770930504,0.0,0.40584737363726464,0.40584737363726464,1.0,0.5773704617553754,0.056379991770930504,0.01959446,0.2202530751389555,0.01960208766517275,0.5
