accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.7486950848194868,0.7086750337104568,0.0,0.0,0.0,0.0,0.25,0.5987385819921706,0.3764558322881204,0.9091302466464734,0.5324379118094272,0.8939612365849752,0.23907301,1.8560152342049234,0.24020364890273008,0.0
0.7486950848194868,0.713888519652937,0.0,0.0,0.0,0.0,0.16,0.5986298390604611,0.37647690655209454,0.9099956728688879,0.5326073192351526,0.894263315516155,0.21235473,1.8538877112396648,0.21354041057841966,0.05
0.7486950848194868,0.7077054043887857,0.0,0.0,0.0,0.0,0.24,0.5998260113092649,0.3770874483749327,0.9086975335352662,0.5329949238578681,0.8920390837738267,0.17790684,1.8492109664305003,0.17976599001371432,0.1
0.7486950848194868,0.7094295948743137,0.0,0.0,0.0,0.0,0.24,0.5985210961287516,0.3756975697569757,0.9030722630895716,0.5306381896770913,0.8743332118833913,0.13641682,1.7784785415567772,0.13857873996964473,0.15
0.7486950848194868,0.7100577045087951,0.0,0.0,0.0,0.0,0.25,0.595150065245759,0.3737933500178763,0.9048031155344007,0.5290322580645161,0.8760908458584349,0.07407251,1.6506000047145875,0.0746550168153669,0.2
0.7486950848194868,0.693052519179058,0.0,0.0,0.0,0.0,0.26,0.560461070030448,0.34673277846644235,0.8472522717438339,0.49208343804976123,0.6396606800361411,0.02420108,0.8636992187125884,0.024587252384282172,0.25
0.7486950848194868,0.6792478710797748,0.0,0.0,0.0,0.0,0.27,0.6257068290561113,0.3634387829026805,0.6512332323669408,0.46652200867947924,0.5770073725376349,0.013953134,0.481398446202604,0.014529364503534849,0.3
0.7486950848194868,0.6553043494109666,0.0,0.0,0.0,0.0,0.25,0.39843410178338406,0.2896695833877498,0.9597576806577239,0.44502407704654895,0.15203954266909658,0.0057073683,0.3752175616522107,0.011225063560770477,0.35
0.7486950848194868,0.6614434706042616,0.0,0.0,0.0,0.0,0.27,0.5375163114397564,0.32771469127040453,0.799221116399827,0.46482949540707186,0.4797733773373757,0.011183739,0.3528708750451553,0.011371488386518793,0.4
0.7486950848194868,0.6369556165816167,0.0,0.0,0.0,0.0,0.14,0.3601565898216616,0.28082443871917556,0.9904803115534401,0.4375836360160581,0.024158666239883275,0.004955277,0.20857805482404962,0.007336323564194201,0.45
0.7486950848194868,0.6283007572950811,0.0,0.0,0.0,0.0,0.22,0.3632013919095259,0.2822749048028498,0.9943747295543055,0.4397244546498278,0.025050962597919946,0.0060353577,0.2207974052159201,0.0064392728740647245,0.5
